127.0.0.1 - - [28/Aug/2014:18:21:29 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:21:32 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:05 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:05 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:05 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:05 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 200 102445
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 5704
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 200 612482
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:06 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:08 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:22:08 -0300] "GET /TCC-GamificationJava/modulos/get HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:30:30 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 1370
