127.0.0.1 - - [29/Sep/2014:22:12:26 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:28 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 200 6947
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 200 41145
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 200 11857
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 200 82324
0:0:0:0:0:0:0:1 - - [29/Sep/2014:22:12:43 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 136237
