127.0.0.1 - - [29/Oct/2014:19:06:25 -0200] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:06:27 -0200] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 6964
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/js/ng-breadcrumbs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:45 -0200] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:47 -0200] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:47 -0200] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:55 -0200] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:55 -0200] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2014:19:11:55 -0200] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
